"","ResponseId","Consent_Page","Age","Experience","Familiarity","Healthcare","Channel","Channel_4_TEXT","Healthcare_Level","Healthcare_Level_7_TEXT","Healthcare_Setting","Healthcare_Setting_4_TEXT","Healthcare_Security","Baseline_Response_1","Baseline_Response_2","Baseline_Response_3","Baseline_Response_4","Baseline_Response_5","Baseline_Response_6","Att_Check","V1_B_NM","V1_B_M","V2_B_NM","V2_B_M","V3_B_NM","V3_B_M","V4_B_NM","V4_B_M","V5_B_NM","V5_B_M","V6_B_NM","V6_B_M","V7_B_NM","V7_B_M","V8_B_NM","V8_B_M","V1_AI_NM","V1_AI_M","V2_AI_NM","V2_AI_M","V3_AI_NM","V3_AI_M","V4_AI_NM","V4_AI_M","V5_AI_NM","V5_AI_M","V6_AI_NM","V6_AI_M","V7_AI_NM","V7_AI_M","V8_AI_NM","V8_AI_M","V1_F_NM","V1_F_M","V2_F_NM","V2_F_M","V3_F_NM","V3_F_M","V4_F_NM","V4_F_M","V5_F_NM","V5_F_M","V6_F_NM","V6_F_M","V7_F_NM","V7_F_M","V8_F_NM","V8_F_M","Gender","Country","Country_3_TEXT","Ethnicity","Race","Education","Police_1","Police_2","Police_3","Police_4","Police_5","Politic","Group","Rec_Type","Stratified","V1_Race","V2_Race","V3_Race","V4_Race","V5_Race","V6_Race","V7_Race","V8_Race","V1_Religion","V2_Religion","V3_Religion","V4_Religion","V5_Religion","V6_Religion","V7_Religion","V8_Religion","V1_Random","V1_Rec","V2_Random","V2_Rec","V3_Random","V3_Rec","V4_Random","V4_Rec","V5_Random","V5_Rec","V6_Random","V6_Rec","V7_Random","V7_Rec","V8_Random","V8_Rec","V1_Flag","V2_Flag","V3_Flag","V4_Flag","V5_Flag","V6_Flag","V7_Flag","V8_Flag"
"1",1,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","Male","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Neutral","Neutral","Agree","Neutral","Disagree","None (i.e. Independent)","Unbiased","Explicit","True","Caucasian","African American","African American","African American","Caucasian","Caucasian","Caucasian","African American","Not","Not","Not","Muslim","Not","Not","Muslim","Muslim","85","medical","46","police","3","police","100","medical","14","police","53","medical","91","medical","12","police","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","","","🚩 Our AI system has flagged this call for risk of violence"
"2",2,"Yes, I agree to participate in this study","25 - 34","No","Probably yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","Female","United States of America","","No","Asian","Professional degree (JD, MD)","Neutral","Neutral","Agree","Agree","Disagree","Democratic Party","Unbiased","Flag","True","Caucasian","African American","African American","Caucasian","African American","African American","Caucasian","Caucasian","Not","Not","Muslim","Muslim","Not","Not","Muslim","Not","43","police","84","medical","49","medical","16","police","83","medical","61","medical","58","medical","47","medical","🚩 Our AI system has flagged this call for risk of violence","","","🚩 Our AI system has flagged this call for risk of violence","","","",""
"3",3,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","3","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","Female","United States of America","","Yes","A race/ethnicity not listed here","Professional degree (JD, MD)","Agree","Neutral","Neutral","Neutral","Neutral","Prefer not to say","Biased","Explicit","True","African American","Caucasian","Caucasian","African American","Caucasian","Caucasian","African American","African American","Muslim","Muslim","Muslim","Not","Not","Not","Not","Not","32","police","8","police","95","medical","11","police","50","medical","16","medical","64","police","19","police","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence"
"4",4,"Yes, I agree to participate in this study","25 - 34","No","Probably yes","Yes","Through my employer","","Resident physician","","University campus health center","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Male","United States of America","","No","Asian","Professional degree (JD, MD)","Neutral","Neutral","Agree","Disagree","Disagree","Democratic Party","Baseline","Explicit","True","Caucasian","African American","Caucasian","Caucasian","Caucasian","African American","African American","African American","Muslim","Muslim","Not","Muslim","Not","Not","Not","Not","","","","","","","","","","","","","","","","","","","","","","","",""
"5",5,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","United States of America","","Yes","White or Caucasian","Professional degree (JD, MD)","Disagree","Neutral","Neutral","Neutral","Neutral","Democratic Party","Baseline","Flag","True","African American","Caucasian","Caucasian","Caucasian","African American","African American","African American","Caucasian","Not","Not","Not","Not","Muslim","Muslim","Not","Muslim","","","","","","","","","","","","","","","","","","","","","","","",""
"6",6,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Send emergency medical help to the caller's location","","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","","Send emergency medical help to the caller's location","Male","United States of America","","No","Asian","Professional degree (JD, MD)","Disagree","Neutral","Neutral","Agree","Agree","None (i.e. Independent)","Biased","Flag","True","Caucasian","Caucasian","African American","African American","African American","Caucasian","African American","Caucasian","Not","Muslim","Not","Not","Muslim","Not","Not","Muslim","5","police","73","police","31","police","42","police","38","police","76","medical","26","police","10","police","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence"
"7",7,"Yes, I agree to participate in this study","25 - 34","No","Probably yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","","","","","","","","","","","","","","","","","Female","United States of America","","No","Asian","Professional degree (JD, MD)","Agree","Neutral","Agree","Neutral","Disagree","Democratic Party","Unbiased","Explicit","True","Caucasian","Caucasian","African American","Caucasian","African American","African American","African American","Caucasian","Not","Muslim","Not","Not","Not","Muslim","Not","Muslim","91","medical","5","police","21","police","91","medical","10","police","74","medical","75","medical","85","medical","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","","",""
"8",8,"Yes, I agree to participate in this study","35 - 44","No","Probably yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Police Assistance","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","Male","United States of America","","No","Asian","Professional degree (JD, MD)","Agree","Neutral","Disagree","Agree","Disagree","Democratic Party","Biased","Explicit","True","Caucasian","African American","African American","Caucasian","Caucasian","African American","African American","Caucasian","Not","Not","Muslim","Muslim","Not","Not","Muslim","Not","90","medical","12","police","2","police","91","medical","82","medical","89","medical","3","police","68","medical","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","","","🚩 Our AI system has flagged this call for risk of violence",""
"9",9,"Yes, I agree to participate in this study","25 - 34","No","Probably yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Medical Help","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","Male","United States of America","","No","Asian","Professional degree (JD, MD)","Agree","Agree","Agree","Disagree","Neutral","Prefer not to say","Biased","Flag","True","African American","Caucasian","Caucasian","African American","Caucasian","Caucasian","African American","African American","Not","Muslim","Not","Not","Not","Not","Muslim","Muslim","54","police","10","police","48","medical","83","medical","86","medical","97","medical","97","medical","35","police","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","","","","","🚩 Our AI system has flagged this call for risk of violence"
"10",10,"Yes, I agree to participate in this study","25 - 34","No","Might or might not","Yes","Through my employer","","Resident physician","","Hospital","","No","Medical Help","Medical Help","Police Assistance","Police Assistance","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Male","United States of America","","Yes","White or Caucasian","Doctoral degree","Agree","Agree","Neutral","Disagree","Disagree","Democratic Party","Baseline","Flag","True","Caucasian","African American","African American","Caucasian","African American","African American","Caucasian","Caucasian","Not","Not","Muslim","Not","Muslim","Muslim","Not","Not","","","","","","","","","","","","","","","","","","","","","","","",""
